region_name,year,dotations,dotations_equalization,other_dotations,subsidies,subventions,other_transfers,PST,ln_population,Urbanization,ln_grp_pc,ln_grp_pc_L1,grp_growth,russian_share,republic,turnout,UR,Putin,closeness_centrality,patronaged,t1,log_growth,closeness_centr,mean_closeness_centr,mean_patronaged,mean_t1,mean_ln_population,mean_ln_grp_pc_L1,mean_log_growth,mean_Urbanization,mean_UR,mean_turnout,mean_Putin
Белгородская область,2012,1.770814520819694,0.8965579764541955,0.8742565443654987,23.5120768413261,5.322247323131851,3.702539992317002,24.3863333856916,14.24681688705224,66.2,13.46014151432313,13.40971681842575,5.171766171820735,94.36612621715348,0,75.5,51.2,59.3,0.6271600887862697,1.0,0.0,0.05042469589738019,6.271600887862697,6.258075849451342,1.0,0.1,14.252721865917223,13.553597196052564,0.028085594452510066,65.83500000000001,52.95,68.85,65.423
Брянская область,2012,15.53227907120853,14.44988790249477,1.082391168713758,17.00577038010148,9.252968757634923,3.668820487775806,18.08816154881524,14.04500748378399,69.24,12.67150957816323,12.58263974901036,9.293837835173768,96.70319132613922,0,59.9,50.1,64.02,0.0,0.0,0.0,0.08886982915286978,0.0,5.557272194605841,0.7,0.1,14.01017982111388,12.761148914465238,0.03458679688419597,69.51,57.0,57.5,69.294
Владимирская область,2012,7.316871167318936,5.885485656556927,1.431385510762009,8.603076770689672,7.831866431701587,5.376564870533779,10.03446228145168,14.17265759045167,77.55,12.93905058657579,12.91165168439692,2.777770376828048,95.58201060163185,0,48.6,37.6,53.49,0.5120964434645948,1.0,0.0,0.027398902178870088,5.120964434645948,4.579569635101675,0.7,0.2,14.148317042139514,12.981501158236167,0.028902071409907925,77.69,41.4,43.5,59.538
Воронежская область,2012,11.77004087409208,9.995653546950868,1.774387327141209,13.08452626869527,6.457982111181273,4.044216317306894,14.85891359583648,14.66258282147784,66.16,13.03635506586528,12.9470238473212,9.344276487510484,95.50289463735784,0,64.3,50.0,61.34,0.9999993541670816,1.0,0.0,0.08933121854408022,9.999993541670817,8.947648293289495,1.0,0.1,14.66311066675936,13.110858337994335,0.02729048016193012,67.483,54.55,59.05,66.602
Ивановская область,2012,28.68796096474014,27.95487047844552,0.7330904862946133,7.714170078415654,7.655275830373774,4.307755112866381,8.447260564710266,13.85869264527328,81.06,12.61011670581729,12.63680028115729,-2.633071424193234,95.57495314218058,0,53.2,40.1,61.85,0.575963346844531,1.0,0.0,-0.026683575339999877,5.75963346844531,6.5690167994383755,0.9,0.2,13.805708923317388,12.617724326485558,0.0073315337883800066,81.444,41.25,45.85,64.706
Тверская область,2012,7.138972375746286,5.270744133077792,1.868228242668494,8.384551982424101,8.372318293915033,3.228699638165806,10.25278022509259,14.10634714968425,74.86,12.9200170440765,12.91375726722159,0.6279410203462676,93.45164623819502,0,53.5,38.4,58.02,0.5485957580095859,1.0,1.0,0.006259776854911081,5.485957580095859,5.305831705064431,0.8,0.2,14.06973721325139,12.960396311643638,0.011981358425233068,75.59299999999999,41.7,47.55,62.979
Калужская область,2012,4.399721568547195,1.057645764950402,3.342075803596793,7.356749090952064,4.863943667786067,3.490199873312496,10.69882489454886,13.830607030627,76.2,13.26719130095058,13.17920894622751,9.196885376537534,93.0800802880774,0,57.6,40.4,59.02,0.6334160497716674,1.0,0.0,0.0879823547230707,6.334160497716674,6.4246208961410645,1.0,0.1,13.85554041843769,13.249145898689758,0.01749197480236795,75.735,43.05,50.35,64.162
Костромская область,2012,17.39992593950496,14.53129292270789,2.868633016797074,9.671519000012566,8.771340884441651,4.423270475277298,12.54015201680964,13.39148170482828,70.38,12.8104536733775,12.75863003989581,5.318997868292552,96.59759640453902,0,57.3,30.7,52.78,0.85,1.0,0.0,0.051823633481690834,8.5,8.072859485517743,1.0,0.1,13.339556055879871,12.851212249900556,0.019911432202010103,71.98400000000001,33.65,48.35,57.559000000000005
Курская область,2012,8.00273000094412,7.265511057366747,0.7372189435773729,14.27865846541443,6.928652344601113,2.232764108954214,15.0158774089918,13.92847935709144,66.15,13.01724458804568,12.96798607674178,5.049187966741586,96.48180915317877,0,54.7,45.7,60.45,0.8246747920728531,1.0,0.0,0.0492585113038988,8.24674792072853,8.290882112478176,1.0,0.1,13.919282964584486,13.145400230172722,0.039278141499276845,67.375,48.7,50.85,66.61800000000001
Липецкая область,2012,0.5883218317252503,0.4594734801965201,0.1288483515287302,12.89925585951396,6.007679726553313,4.487161276332456,13.02810421104269,13.97017225005966,63.76,13.3067184884816,13.28650061684739,2.04236371751696,96.26322297018821,0,56.9,40.1,61.0,0.0,0.0,0.0,0.020217871634210738,0.0,2.0568206848455426,0.3,0.1,13.96618993541692,13.392307693976097,0.023520154098316048,63.512,48.15,54.75,66.949
Московская область,2012,0.3038995555027155,0.0,0.3038995555027155,9.245638531273242,3.26286811590326,7.491267414597191,9.549538086775957,15.80538536961003,79.96,13.4656564824299,13.43804773399145,2.799340170600839,92.91775841693203,0,51.0,32.8,56.85,0.0,0.0,0.0,0.027608748438449737,0.0,7.023968238094758,0.9,0.1,15.885742041004724,13.471572415288097,0.015701077232158946,79.455,39.4,44.6,62.141999999999996
Орловская область,2012,17.20407957301482,17.20407957301482,0.0,19.09874185536322,7.166787509522663,2.981410320129551,19.09874185536322,13.56451265101378,65.78,12.90409167599945,12.85911925529157,4.599901159861397,96.04297520231538,0,64.7,39.0,52.84,0.0,0.0,0.0,0.04497242070787877,0.0,3.830051924606397,0.6,0.2,13.52696250430007,12.959555213680265,0.02072357290982385,66.462,43.45,59.15,60.019000000000005
Рязанская область,2012,5.767633815239421,5.619425530925862,0.1482082843135593,16.84123540992377,9.177565535728743,5.015983311620508,16.98944369423733,13.95379227491134,70.88,12.99817061429025,12.94727780973745,5.221009510589147,95.11195291262811,0,52.7,39.8,59.74,0.6902169455392364,1.0,0.0,0.05089280455280054,6.9021694553923645,4.456927781319715,0.7,0.1,13.938522044765856,13.013257137578137,0.016012176634652063,71.239,47.15,48.0,64.72
Смоленская область,2012,10.93537169508291,8.7282552432717,2.207116451811207,14.87388494983491,5.956964602303862,5.367563211479982,17.08100140164612,13.7897403399657,72.68,12.89077942037623,12.84347422548549,4.844193937976082,94.66093975086856,0,49.6,36.2,56.69,0.0,0.0,0.0,0.0473051948907397,0.0,0.0,0.0,0.1,13.75185863536998,12.952967034060379,0.023782608667671033,72.503,42.15,45.0,61.73
Тамбовская область,2012,23.4906043960471,23.26900839094458,0.2215960051025255,24.38867240124215,7.915305758202046,3.627412645954708,24.61026840634468,13.89142660884378,58.77,12.74034206092133,12.64847494713495,9.621913999065711,96.98967348305317,0,68.3,66.7,71.76,0.0,0.0,0.0,0.09186711378638002,0.0,0.0,0.0,0.1,13.851756469223428,12.895621793221153,0.03668518441231594,59.628,65.1,58.8,74.775
Тульская область,2012,4.552570922586952,3.222919167943061,1.329651754643891,7.280242440208645,7.081600072125814,4.309643097017394,8.609894194852536,14.25175896103513,78.34,12.90911563900654,12.88226296195612,2.721645905696124,95.30925002623609,0,72.8,61.3,67.77,0.7405243030858282,1.0,1.0,0.02685267705041916,7.405243030858282,8.399521489189901,1.0,0.2,14.24050427557213,13.069838428029508,0.04070484021754996,75.926,57.15,59.2,71.199
Ярославская область,2012,2.415462837910047,1.377728833813635,1.037734004096412,6.287017823032619,5.453753402950869,4.181340250247032,7.324751827129031,14.05331648928704,82.05,13.05054694481742,13.00430749343567,4.732516439186663,95.96558891889833,0,55.9,29.0,54.53,0.7055550998845518,1.0,0.0,0.046239451381749674,7.055550998845518,5.257900789212982,0.6,0.2,14.039261888917235,13.116074009342586,0.025374938754583985,81.66900000000001,33.7,46.85,59.723
г. Москва,2012,0.03410532369372696,0.0,0.03410532369372696,1.872666720762536,1.658324060453265,2.25272269085728,1.906772044456263,16.28014000786433,100.0,14.38837333944725,14.37201570268734,1.649215536803617,91.65044468473364,0,61.7,46.6,46.95,0.9584899470129777,1.0,0.0,0.016357636759909866,9.584899470129777,9.757022611351823,1.0,0.0,16.338118114759993,14.357745724283001,0.006782166732758022,100.0,42.2,48.5,54.126
Республика Карелия,2012,13.19934359899043,11.34298682475018,1.856356774240252,5.832607392135094,9.37149714744087,4.097028638184764,7.688964166375346,13.35407015937903,78.42,13.4095457418571,13.38136650460191,2.858002776125312,82.18881340785018,1,50.3,32.3,55.38,0.0,0.0,0.0,0.02817923725518945,0.0,6.592661288576157,0.9,0.2,13.27598030606928,13.484420656046058,0.025210717604336,78.965,34.8,44.95,60.678
Республика Коми,2012,2.123343086132613,1.586351424236459,0.5369916618961533,3.67139695924265,4.042743367608096,3.827510942927637,4.208388621138803,13.68212544035532,77.18,14.00346850722662,13.96749159774507,3.663190984633036,65.07796414152824,1,72.6,58.8,65.02,0.0,0.0,0.0,0.03597690948154941,0.0,4.22213048271865,0.6,0.2,13.602233948025196,13.96424227136382,0.0006625953060579448,77.464,48.3,56.7,66.946
Архангельская область,2012,7.508734948495903,6.45384299566815,1.054891952827753,6.28776025534516,6.905867882263431,2.579667137067569,7.342652208172913,13.95669409808601,76.34,13.16175847923364,13.10469140629539,5.872681993268714,95.58024333912395,0,50.0,31.9,57.97,0.7195462775026603,1.0,0.0,0.05706707293825097,7.195462775026603,7.068758662357756,1.0,0.1,13.879810975329358,13.259508408329705,0.03269411072146813,77.051,38.2,43.3,63.160000000000004
Вологодская область,2012,3.143300485527487,3.143300485527487,0.0,8.936526785127787,8.141095372524326,4.639648352043554,8.936526785127787,13.9954584665496,71.19,13.63009649642501,13.58101677807252,5.030407591331132,97.26601120869842,0,56.3,33.4,59.44,0.5545847946690806,1.0,1.0,0.049079718352489365,5.545847946690806,5.559465151077335,1.0,0.1,13.978454104032071,13.637740710257905,0.01258994856479596,71.975,35.3,48.6,63.330999999999996
Калининградская область,2012,4.130100460341071,1.238824308497745,2.891276151843326,29.76363724181985,4.102986874953895,2.047213944569527,32.65491339366318,13.76544598207709,77.23,13.26663199790753,13.22780902169236,3.958643583467913,86.42750701458407,0,54.6,37.1,52.55,0.0,0.0,0.0,0.038822976215168836,0.0,3.517805176669593,0.5,0.1,13.803348201913462,13.295133041532399,0.01816559597245391,76.973,40.25,49.35,59.69
Ленинградская область,2012,1.782848986560423,0.0,1.782848986560423,5.416906642380789,5.404311997510954,2.482111123043392,7.199755628941212,14.37829902192199,64.89,13.44216196231639,13.39634104669876,4.688691307223158,92.7461159300702,0,51.5,33.0,61.9,0.7627622701454626,1.0,0.0,0.045820915617630575,7.6276227014546265,7.335358655821446,1.0,0.1,14.436191328474141,13.442904586800628,0.011770313701108037,65.303,41.5,47.8,67.033
Мурманская область,2012,7.832421383962945,2.716537333721386,5.11588405024156,4.48520822667248,3.453372810045253,4.131203625219523,9.60109227691404,13.56152628309839,92.88,13.93741118493976,13.91649987652248,2.113148185390368,88.97184610589743,0,51.9,32.0,60.05,0.0,0.0,0.0,0.02091130841728095,0.0,1.4629845967686022,0.2,0.2,13.49139371358441,14.040909289964551,0.03979363204139297,92.986,37.0,45.8,64.946
Новгородская область,2012,2.508024599463083,1.60180683702125,0.9062177624418334,26.5065340197737,7.215105973843504,4.086172035538336,27.41275178221553,13.34882142968637,70.7,13.05212347652804,12.9651957511919,9.081783837659007,95.06018883770646,0,56.6,34.6,57.91,0.7277932262419455,1.0,0.0,0.08692772533614068,7.277932262419455,7.851502783919419,1.0,0.1,13.316641027128764,13.146522818285362,0.03242789246234708,71.64500000000001,37.35,48.25,62.331999999999994
Псковская область,2012,19.19417799142019,18.01715103198374,1.177026959436447,12.19212497112066,9.620224778460425,4.578167643962712,13.36915193055711,13.40280177769523,70.15,12.71990666354748,12.70917309466648,1.07913802872226,95.01212251056963,0,52.9,36.7,59.69,0.9039140069695333,1.0,0.0,0.0107335688809993,9.039140069695332,8.057939850703216,1.0,0.1,13.355894012261155,12.758881013677406,0.013595769047086925,70.441,40.9,47.5,64.298
г. Санкт-Петербург,2012,5.795378211298809,0.0,5.795378211298809,1.395320293529162,2.728690636253531,2.412167562135615,7.190698504827971,15.4295727618625,100.0,14.1606796568168,14.13586682392727,2.512323321405208,92.47680067304842,0,55.2,35.4,58.77,0.920289260718981,1.0,1.0,0.02481283288953051,9.20289260718981,9.314087418118442,1.0,0.2,15.49722681671185,14.15777414233609,0.02000782640407799,100.0,37.55,43.95,63.64200000000001
Ненецкий автономный округ,2012,,0.0,0.0,0.3915207454403059,2.352914636687484,1.295214241661934,0.3915207454403059,10.65036505551704,69.46,16.05787091334317,16.11204335848599,-5.273125947687651,66.12571031539244,0,56.1,36.0,57.05,0.0,0.0,0.0,-0.0541724451428216,0.0,2.8070767836081694,0.4,0.3,10.645855089516278,16.134450599373572,-0.0007417630986772394,72.111,38.55,50.45,61.279999999999994
Республика Калмыкия,2012,27.79105505795279,25.90008876946439,1.890966288488398,19.04392223596744,5.923927264475274,5.583528209546708,20.93488852445584,12.56013568140487,44.68,12.79979402148668,12.7904751554333,0.9362421877466831,30.21315445326077,1,63.2,66.1,70.3,0.0,0.0,0.0,0.009318866053378727,0.0,1.475885844675597,0.2,0.1,12.528290997617901,12.84492623117244,0.006397844955817966,45.583,68.35,60.35,73.708
Краснодарский край,2012,5.815809667289977,2.486200720604118,3.329608946685859,21.77261234099191,3.785178930109476,5.341213300382655,25.10222128767777,15.48822876279806,53.54,13.19569720333061,13.17127093540327,2.472703307365043,88.25308927432054,0,72.6,56.2,63.72,0.7405243030858282,1.0,0.0,0.024426267927340817,7.405243030858282,8.459223335820525,1.0,0.1,15.54067998324553,13.190794219767906,0.0070424677028171345,55.198,57.75,61.9,69.00899999999999
Астраханская область,2012,5.37409912769037,3.733397220247044,1.640701907443325,11.74382458679511,4.207491587337329,2.31455365146918,13.38452649423844,13.82495382959157,66.41,13.07514677973197,12.96694124871173,11.42767402881464,67.57391327159684,0,56.0,60.2,68.76,0.0,0.0,0.0,0.10820553102023922,0.0,2.6100094728212637,0.3,0.1,13.810541734377562,13.269590553481365,0.04760383200078096,65.529,51.2,46.5,71.21700000000001
Волгоградская область,2012,5.371803992107479,4.051134885470602,1.320669106636877,13.87853647040345,5.091797727360731,3.483687242278684,15.19920557704033,14.76896064909162,76.18,13.00336043875921,12.97250922343446,3.133204606717066,90.0076005020229,0,52.0,35.5,63.41,0.0,0.0,0.0,0.030851215324748438,0.0,4.767324418191054,0.7,0.2,14.753148639200223,13.007406433970996,-0.0009375837079140581,76.74600000000001,43.05,47.1,67.652
